Name	Primary_Site
A549	LUNG
CFPAC1	PANCREAS
CHP212	AUTONOMIC_GANGLIA
DANG	PANCREAS
KELLY	AUTONOMIC_GANGLIA
KP2	PANCREAS
KP3	PANCREAS
KP4	PANCREAS
MIAPACA2	PANCREAS
NCIH1437	LUNG
NCIH1693	LUNG
NCIH1792	LUNG
NCIH1944	LUNG
NCIH2023	LUNG
NCIH2030	LUNG
NCIH2087	LUNG
NCIH2122	LUNG
NCIH2126	LUNG
NCIH2291	LUNG
NCIH322	LUNG
NCIH441	LUNG
PANC0203	PANCREAS
PANC0403	PANCREAS
RERFLCAD1	LUNG
SKNBE2	AUTONOMIC_GANGLIA
SNU213	PANCREAS
TCCPAN2	PANCREAS
YAPC	PANCREAS
ABC1	LUNG
C2BBE1	LARGE_INTESTINE
CAL51	BREAST
COV434	OVARY
D341MED	CENTRAL_NERVOUS_SYSTEM
ES2	OVARY
HCC1359	LUNG
HCC1806	BREAST
HCC827	LUNG
HOP62	LUNG
HT115	LARGE_INTESTINE
JHOC5	OVARY
KARPAS299	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KIJK	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KM12	LARGE_INTESTINE
KURAMOCHI	OVARY
LCLC103H	LUNG
LK2	LUNG
LXF289	LUNG
MDST8	LARGE_INTESTINE
MHHNB11	AUTONOMIC_GANGLIA
MORCPR	LUNG
NB4	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCIH520	LUNG
OUMS23	LARGE_INTESTINE
P31FUJ	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PC14	LUNG
PK45H	PANCREAS
SIMA	AUTONOMIC_GANGLIA
SKNAS	AUTONOMIC_GANGLIA
SNU410	PANCREAS
SNU8	OVARY
SUPM2	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
T84	LARGE_INTESTINE
TF1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
THP1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TOV21G	OVARY
U937	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
X786O	KIDNEY
A2780	OVARY
AU565	BREAST
BT549	BREAST
CAL29	URINARY_TRACT
CAMA1	BREAST
CAOV3	OVARY
COV318	OVARY
COV362	OVARY
COV504	OVARY
COV644	OVARY
D283MED	CENTRAL_NERVOUS_SYSTEM
DLD1	LARGE_INTESTINE
EFM19	BREAST
EFO21	OVARY
EFO27	OVARY
EPLC272H	LUNG
HCC1143	BREAST
HCC1395	BREAST
HCC56	LARGE_INTESTINE
HCC95	LUNG
HEYA8	OVARY
HS578T	BREAST
HS766T	PANCREAS
HT55	LARGE_INTESTINE
HUH7	LIVER
IGR39	SKIN
JHH5	LIVER
JHOM1	OVARY
JHOS4	OVARY
JIMT1	BREAST
KYSE70	OESOPHAGUS
LS180	LARGE_INTESTINE
LS513	LARGE_INTESTINE
LUDLU1	LUNG
MDAMB157	BREAST
MDAMB231	BREAST
MDAMB415	BREAST
MDAMB436	BREAST
MDAMB453	BREAST
MDAMB468	BREAST
MELJUSO	SKIN
MV411	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCIH1581	LUNG
NCIH2170	LUNG
NCIH460	LUNG
NCIH747	LARGE_INTESTINE
OE33	OESOPHAGUS
OVCAR8	OVARY
OVISE	OVARY
OVK18	OVARY
PECAPJ34CLONEC12	UPPER_AERODIGESTIVE_TRACT
RKO	LARGE_INTESTINE
RT112	URINARY_TRACT
SKNDZ	AUTONOMIC_GANGLIA
SKOV3	OVARY
SNU201	CENTRAL_NERVOUS_SYSTEM
SNU349	KIDNEY
SNU503	LARGE_INTESTINE
SNU840	OVARY
SW1463	LARGE_INTESTINE
SW620	LARGE_INTESTINE
