DepMap_ID,CCLE_Name,Primary_Disease,Wang_AML,Achilles_GECKO,Hart_TKOv1,Tzelepis_AML,Avana_Q4_18,Sanger_Q1_19,Avana_Q3_17,HART_shRNA
ACH-000001,NIHOVCAR3_OVARY,OVARIAN CANCER,0,0,0,0,0,0,0,1
ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,1,0,0,0,0
ACH-000003,CACO2_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,0,0,0,0,0
ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000006,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000007,LS513_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,1,1,1,0
ACH-000009,C2BBE1_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,1,1,1,0
ACH-000010,NCIH2077_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000011,253J_URINARY_TRACT,BLADDER CANCER,0,0,0,0,1,0,0,0
ACH-000012,HCC827_LUNG,LUNG CANCER,0,0,0,0,1,0,1,0
ACH-000013,ONCODG1_OVARY,OVARIAN CANCER,0,0,0,0,1,0,0,0
ACH-000014,HS294T_SKIN,SKIN CANCER,0,1,0,0,0,0,1,0
ACH-000015,NCIH1581_LUNG,LUNG CANCER,0,0,0,0,1,0,1,0
ACH-000016,SLR21_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000017,SKBR3_BREAST,BREAST CANCER,0,0,0,0,1,0,1,0
ACH-000018,T24_URINARY_TRACT,BLADDER CANCER,0,0,0,0,1,0,1,0
ACH-000019,MCF7_BREAST,BREAST CANCER,0,0,0,0,0,1,0,1
ACH-000492,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000021,NCIH1693_LUNG,LUNG CANCER,0,0,0,0,1,0,1,0
ACH-000022,PATU8988S_PANCREAS,PANCREATIC CANCER,0,0,1,0,1,0,1,0
ACH-000023,PATU8988T_PANCREAS,PANCREATIC CANCER,0,1,0,0,0,1,0,0
ACH-000024,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MYELOMA,0,0,0,0,0,1,0,0
ACH-000025,CH157MN_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,0,0
ACH-000026,253JBV_URINARY_TRACT,BLADDER CANCER,0,0,0,0,0,0,0,0
ACH-000027,GOS3_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,0,0,0
