Sanger_ID	Name	Tissue
SIDM00795	A375	Skin
SIDM00789	HCT-15	Large Intestine
SIDM00136	HT-29	Large Intestine
SIDM01068	HCC-78	Lung
SIDM00841	SW620	Large Intestine
SIDM00499	22RV1	Prostate
SIDM00980	23132-87	Stomach
SIDM00803	769-P	Kidney
SIDM00797	A2058	Skin
SIDM00796	A253	Head and Neck
SIDM01211	A2780ADR	Ovary
SIDM01212	A2780cis	Ovary
SIDM00900	ARH-77	Haematopoietic and Lymphoid
SIDM00899	AsPC-1	Pancreas
SIDM00898	AU565	Breast
SIDM00172	BB30-HNC	Head and Neck
SIDM01229	BE2-M17	Peripheral Nervous System
SIDM00986	BHY	Head and Neck
SIDM00077	BICR10	Head and Neck
SIDM00485	BICR22	Head and Neck
SIDM00501	BICR78	Head and Neck
SIDM01233	C2BBe1	Large Intestine
SIDM00937	CAL-27	Head and Neck
SIDM00942	CAL-33	Head and Neck
SIDM00930	CAL-72	Bone
SIDM00918	Caov-4	Ovary
SIDM00934	CAPAN-1	Pancreas
SIDM00944	CL-11	Large Intestine
SIDM00826	COLO-205	Large Intestine
SIDM00842	COLO-320-HSR	Large Intestine
SIDM00957	COLO-678	Large Intestine
SIDM00956	COLO-680N	Esophagus
SIDM00954	COLO-824	Breast
SIDM00512	COR-L23	Lung
SIDM00950	DAN-G	Pancreas
SIDM00831	Detroit562	Head and Neck
SIDM00049	DiFi	Large Intestine
SIDM00540	DOK	Head and Neck
SIDM00969	DOV13	Ovary
SIDM00120	DU-145	Prostate
SIDM00486	EBC-1	Lung
SIDM00278	EC-GI-10	Esophagus
SIDM01052	EFO-21	Ovary
SIDM01051	EFO-27	Ovary
SIDM01050	EGI-1	Biliary Tract
SIDM01044	EPLC-272H	Lung
SIDM00861	ES-2	Ovary
SIDM00264	ES4	Bone
SIDM00263	ES5	Bone
SIDM00261	ES8	Bone
SIDM00539	ESO26	Esophagus
SIDM00538	ESO51	Esophagus
SIDM01042	EVSA-T	Breast
SIDM00205	EW-1	Bone
SIDM00198	EW-16	Bone
SIDM00196	EW-22	Bone
SIDM00201	EW-7	Bone
SIDM00860	FADU	Head and Neck
SIDM01041	FLO-1	Esophagus
SIDM00537	GP5d	Large Intestine
SIDM00598	HARA	Lung
SIDM01072	HCC-15	Lung
SIDM00866	HCC1143	Breast
SIDM00885	HCC1187	Breast
SIDM00875	HCC1806	Breast
SIDM00874	HCC1937	Breast
SIDM00872	HCC1954	Breast
SIDM00118	HCC2998	Large Intestine
SIDM00675	HCC38	Breast
SIDM00052	HCE-4	Esophagus
SIDM00783	HCT-116	Large Intestine
SIDM00596	HEC-1	Endometrium
SIDM00968	Hey	Ovary
SIDM00290	HGC-27	Stomach
SIDM00591	HO-1-u-1	Head and Neck
SIDM00133	HOP-62	Lung
SIDM00135	Hs-578-T	Breast
SIDM00589	HSC-3	Head and Neck
SIDM00045	HSC-39	Stomach
SIDM00588	HSC-4	Head and Neck
SIDM00541	HT55	Large Intestine
