V1,V2,Convert
600MPE,BREAST_LUMINAL,600MPE_BREAST
609050M,OVARIAN_E/CC,609050M_OVARY
A2780,OVARIAN_E/CC,A2780_OVARY
ASPC1,PANCREATIC,ASPC1_PANCREAS
AU655,BREAST_HER2,AU655_BREAST
BT20,BREAST_BAS,BT20_BREAST
BT474,BREAST_HER2,BT474_BREAST
BT483,BREAST_LUMINAL,BT483_BREAST
BT549,BREAST_BAS,BT549_BREAST
CAL148,BREAST_BAS,CAL148_BREAST
CAL51,BREAST_BAS,CAL51_BREAST
CAMA1,BREAST_LUMINAL,CAMA1_BREAST
CAPAN2,PANCREATIC,CAPAN2_PANCREAS
CFPAC1,PANCREATIC,CFPAC1_PANCREAS
COV318,OVARIAN_HGS,COV318_OVARY
COV504,OVARIAN_HGS,COV504_OVARY
DU4775,BREAST_BAS,DU4775_BREAST
EFM19,BREAST_LUMINAL,EFM19_BREAST
EFM192A,BREAST_HER2,EFM192A_BREAST
ES2,OVARIAN_E/CC,ES2_OVARY
EVSAT,BREAST_LUMINAL,EVSAT_BREAST
GP3A,PANCREATIC,GP3A_PANCREATIC_CANCER
GP5A,PANCREATIC,GP5A_PANCREATIC_CANCER
HBL100,BREAST_BAS,HBL100_BREAST
HCC1008,BREAST_HER2,HCC1008_BREAST
HCC1143,BREAST_BAS,HCC1143_BREAST
HCC1187,BREAST_BAS,HCC1187_BREAST
HCC1395,BREAST_BAS,HCC1395_BREAST
HCC1419,BREAST_HER2,HCC1419_BREAST
HCC1428,BREAST_LUMINAL,HCC1428_BREAST
HCC1806,BREAST_BAS,HCC1806_BREAST
HCC1954,BREAST_BAS,HCC1954_BREAST
HCC202,BREAST_HER2,HCC202_BREAST
HCC2218,BREAST_HER2,HCC2218_BREAST
HCC3153,BREAST_BAS,HCC3153_BREAST
HCC38,BREAST_BAS,HCC38_BREAST
HCC70,BREAST_BAS,HCC70_BREAST
HCT116P53KO,COLON,HCT116P53KO_COLON
HCT116P53R248Wminus,COLON,HCT116P53R248Wminus_COLON
HDQP1,BREAST_BAS,HDQP1_BREAST
HPAC,PANCREATIC,HPAC_PANCREAS
HS578T,BREAST_BAS,HS578T_BREAST
JHOC5,OVARIAN_E/CC,JHOC5_OVARY
JHOC9,OVARIAN_E/CC,JHOC9_OVARY
JIMT1,BREAST_BAS,JIMT1_BREAST
KP2,PANCREATIC,KP2_PANCREAS
KP3,PANCREATIC,KP3_PANCREAS
KP4,PANCREATIC,KP4_PANCREAS
KPL1,BREAST_LUMINAL,KPL1_BREAST
LY2,BREAST_LUMINAL,LY2_BREAST
MB157R,BREAST_BAS,MB157R_BREAST
MCF7,BREAST_LUMINAL,MCF7_BREAST
MDAMB134,BREAST_LUMINAL,MDAMB134VI_BREAST
MDAMB157,BREAST_BAS,MDAMB157_BREAST
