TSC1	TSC2	1
NDUFA8	NDUFS5	1
ATIC	PAICS	1
TADA1	TAF5L	1
NDUFA8	NDUFV2	1
TADA2B	TAF5L	1
EARS2	MRPS6	1
SUPT20H	TAF5L	1
SUPT20H	TADA1	1
MRPS6	MRPS24	1
MRPL43	MRPS6	1
CAD	UMPS	1
KIDINS220	XPR1	0.856
EARS2	LARS2	1
NDUFS1	NDUFS5	1
SUPT20H	TADA2B	1
TWNK	EARS2	1
GART	PAICS	1
NDUFC1	NDUFV2	1
NDUFB3	NDUFS5	1
FARS2	LARS2	1
NDUFA8	NDUFA11	1
MARS2	MRPS11	1
UBA5	UFM1	1
NDUFS1	NDUFV2	1
NDUFB8	NDUFB10	1
EARS2	KIAA0391	1
UQCRB	UQCRC2	1
NDUFA8	NDUFS2	1
LARS2	MRPS6	1
NDUFS5	NDUFV2	1
NDUFA8	NDUFS8	1
NDUFA8	NDUFS1	1
MRPS6	MRPS14	1
GTPBP10	MRM3	1
TWNK	MRPS6	1
ATIC	PFAS	1
TADA1	TADA2B	1
NDUFA8	NDUFC1	1
NDUFA6	NDUFB10	1
MRPL21	MRPS6	1
HARS2	MARS2	1
FARS2	MRPS6	1
AP2M1	AP2S1	1
NDUFA6	NDUFA8	1
MRPS6	MRPS12	1
GART	PPAT	1
MRPL15	MRPS6	1
NDUFA8	NDUFB10	1
PAICS	PFAS	1
ATIC	PPAT	1
MRPL23	MRPS6	1
MARS2	MRPL43	1
HARS2	MRPS6	1
NDUFA8	NDUFA10	1
MRPL15	MRPL18	1
ATIC	GART	1
NDUFA8	NDUFB8	1
NDUFA2	NDUFA8	1
NDUFA10	NDUFV2	1
NDUFB6	NDUFC1	1
NDUFA10	NDUFS5	1
NDUFA10	NDUFS1	1
MARS2	MRPS6	1
MRPL15	MRPL39	1
LARS2	MRPS25	1
FOXRED1	NDUFC1	1
NDUFB8	NDUFS5	1
NDUFAF1	NDUFS2	1
NDUFA11	NDUFS5	1
FARS2	MRPS24	1
NDUFA8	NDUFB6	1
NDUFA11	NDUFB8	1
KIAA0391	MRPS6	1
EARS2	MRPL39	1
MRPL15	MRPS11	1
NDUFA6	NDUFV2	1
MRPL23	MRPL43	1
LARS2	MRPL47	1
NDUFB6	NDUFB8	1
NDUFB6	NDUFB10	1
LARS2	VARS2	1
FOXRED1	NDUFA8	1
EARS2	FARS2	1
NDUFS2	NDUFV2	1
NDUFB6	NDUFS2	1
MRPS6	MTG2	1
MRPS6	MRPS11	1
NDUFS8	NDUFV2	1
NDUFA2	NDUFB8	1
MRPL15	MRPL46	1
KIAA0391	MRPL15	1
EARS2	MRPL43	1
MRPL18	MRPL46	1
GFM1	LARS2	1
NDUFS2	NDUFS5	1
NDUFB8	NDUFS1	1
LARS2	TFB1M	1
EARS2	MRPL15	1
TWNK	LARS2	1
NDUFB10	NDUFS2	1
MRPL57	MRPS11	1
MRPL18	MRPS6	1
MRPL15	MRPS18C	1
EARS2	MRPS14	1
NDUFB10	NDUFV2	1
MARS2	MRPL21	1
GNPDA2	OCLM	1
FARS2	KIAA0391	1
MRPS6	TFB1M	1
MRPL15	MRPL43	1
EARS2	MARS2	1
DLD	LIAS	1
NDUFA6	NDUFS8	1
NDUFA2	NDUFS2	1
MRPL16	MRPL18	1
HARS2	MRPS11	1
GRB2	PTPN11	1
MRPL46	MRPS14	1
LRPPRC	MRPS6	1
LARS2	NARS2	1
KIAA0391	LARS2	1
MRPL39	MRPL43	1
MARS2	MRPL33	1
NDUFA8	NDUFAF1	1
NDUFA6	NDUFB6	1
MRPL43	MRPS24	1
MARS2	MRPS24	1
MARS2	MRPL10	1
GART	PFAS	1
DHODH	UMPS	1
OCLM	SULT1E1	1
NDUFC1	NDUFS2	1
NDUFB10	NDUFS1	1
NDUFA11	NDUFB6	1
MRPS6	MRPS16	1
MRPL43	MTG2	1
EARS2	MRPL23	1
PFAS	PPAT	1
NDUFB10	NDUFC1	1
MRPS6	MRPS25	1
MARS2	MRPL57	1
HARS2	MRPL43	1
NDUFS1	NDUFS8	1
NDUFA8	NDUFB3	1
NDUFA6	NDUFB8	1
NDUFA2	NDUFS5	1
MRPL16	MRPS6	1
MRPL15	MRPL16	1
MRPL10	MRPS6	1
TWNK	MRPS25	1
NDUFS1	NDUFS7	1
NDUFA11	NDUFS1	1
MRPL15	MRPL17	1
LARS2	MRPL23	1
FOXRED1	NDUFV2	1
TWNK	MRPS14	1
TWNK	FARS2	1
NDUFS1	NDUFS2	1
NDUFA2	NDUFA10	1
MRPL18	MRPL53	1
MARS2	MRPL15	1
LRPPRC	MRPL15	1
HARS2	MRPL10	1
UBE2H	YPEL5	1
NDUFS5	NDUFS8	1
NDUFC1	NDUFS5	1
NDUFA11	NDUFV2	1
MRPS18B	MRPS24	1
FARS2	MRPL43	1
NDUFB8	NDUFV2	1
NDUFA6	NDUFS1	1
NDUFA2	NDUFB6	1
MRPL57	MRPS6	1
MRPL33	MRPS6	1
MRPL21	MRPS11	1
HARS2	MRPL39	1
GFM1	MRPS25	1
EEFSEC	SEPSECS	1
ADSL	PAICS	1
AARS2	EARS2	1
UQCRC1	UQCRC2	1
NDUFA2	NDUFS1	1
NDUFA11	NDUFS2	1
MRPL20	MRPL43	1
MRPL10	MRPL43	1
GTPBP10	MTG1	1
FOXRED1	NDUFAF1	1
COA6	COA7	1
SDHA	SDHB	1
NDUFS2	NDUFS8	1
MRPL46	MRPS6	1
MRPL33	MRPS24	1
MRPL15	MRPL23	1
MRPL10	MRPL15	1
NDUFA2	NDUFV2	1
MRPL15	MRPS24	1
HARS2	MRPL57	1
EARS2	QRSL1	1
EARS2	HARS2	1
CAD	DHODH	1
TWNK	HARS2	1
NDUFB8	NDUFS2	1
MTHFD1	PAICS	1
MRPL47	MRPS6	1
MRPL39	MRPS24	1
MRPL18	MRPS11	1
MRPL15	MRPL32	1
LARS2	MRPL20	1
HARS2	MRPS24	1
EARS2	MRPS25	1
NDUFA6	NDUFC1	1
NDUFA2	NDUFC1	1
MRPL15	MTG2	1
MARS2	MRPL46	1
NDUFC1	NDUFS8	1
MRPS6	PTCD3	1
MRPL21	MRPS14	1
MRPL20	MRPS6	1
MRPL10	MRPS11	1
LARS2	MRPL46	1
RNASEH2A	RNASEH2C	1
NDUFB8	NDUFC1	1
NDUFA6	NDUFS5	1
MRPL57	MRPS24	1
MRPL15	MRPS14	1
FARS2	MARS2	1
NDUFAF1	NDUFC1	1
NDUFA6	NDUFAF4	1
MRPS14	MRPS24	1
LARS2	MRPL43	1
HARS2	MRPL21	1
TWNK	MRPL39	1
UFL1	UFM1	1
STX4	STXBP3	1
OCLM	ZNF99	1
NDUFA10	NDUFS8	1
NDUFA10	NDUFS2	1
MTG1	MRM3	1
MRPS11	MRPS18B	1
MRPL28	MTG2	1
MRPL18	MRPL21	1
MRPL10	MRPL57	1
MBTPS1	SCAP	1
FOXRED1	NDUFS5	1
NDUFB6	NDUFS5	1
MRPS11	MRPS24	1
MRPL43	MRPS14	1
MRPL43	MRPS12	1
MRPL39	MRPS11	1
MRPL21	MRPS24	1
MARS2	YARS2	1
EARS2	MTG2	1
NDUFA2	NDUFA11	1
MRPS6	RARS2	1
MRPS25	SSBP1	1
MRPL43	TRUB2	1
MRPL23	MRPL47	1
MRPL17	MRPS6	1
COX4I1	UQCRC2	1
OCLM	RNF19A	1
NDUFC1	NDUFS1	1
NDUFA11	NDUFC1	1
MTG1	MTG2	1
MRPS12	TFB1M	1
MRPS11	MRPS14	1
MRPL40	MRPS6	1
MRPL39	MRPS16	1
MRPL18	MRPL32	1
TWNK	KIAA0391	1
ADSL	ATIC	1
NDUFA11	NDUFS8	1
NCAPD3	NCAPG2	1
MRPL33	MRPS11	1
MRPL15	MRPL21	1
KIAA0391	MARS2	1
EARS2	MRPS24	1
EARS2	MRPL21	1
MRPS16	MRPS24	1
MRPL20	MRPS25	1
MRPL18	MRPL39	1
KIAA0391	QRSL1	1
FARS2	MRPL39	1
EARS2	MRPS12	1
COX4I1	PET117	1
AARS2	MRPS6	1
MRPS11	YARS2	1
MRPL39	MRPS12	1
MRPL33	MRPL57	1
MRPL17	MRPS24	1
MRPL16	MRPL57	1
MRPL15	MRPL57	1
MARS2	MRPL16	1
LRPPRC	MRPS24	1
HARS2	MRPL15	1
SSBP1	TFB1M	1
MRPL43	MRPS11	1
MRPL23	MTG2	1
MRPL21	MRPL43	1
MRPL17	MRPL57	1
MRPL16	MRPS14	1
MARS2	MRPS18B	1
LRPPRC	MRPL17	1
LARS2	MRPL39	1
LARS2	MRPL15	1
KIAA0391	MRPL46	1
FARS2	MRPL23	1
FARS2	MRPL20	1
DET1	COP1	1
TWNK	MRPS24	1
NDUFB10	NDUFS8	1
NDUFAF4	NDUFB8	1
NDUFAF4	NDUFB10	1
MRPS6	MTPAP	1
MRPS17	SSBP1	1
